20240925-19:33:40.088313 Connecting to host 192.168.68.101, port 5201
20240925-19:33:40.088540 Reverse mode, remote host 192.168.68.101 is sending
20240925-19:33:40.088592 [  5] local 192.168.68.111 port 55389 connected to 192.168.68.101 port 5201
20240925-19:33:40.088631 [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
20240925-19:33:55.888344 [  5]  15.80-15.90  sec   161 KBytes  13.2 Mbits/sec  0.897 ms  0/113 (0%)  
20240925-19:33:55.988164 [  5]  15.90-16.00  sec  99.8 KBytes  8.19 Mbits/sec  0.985 ms  0/70 (0%)  
20240925-19:33:56.088304 [  5]  16.00-16.10  sec   211 KBytes  17.3 Mbits/sec  0.983 ms  0/148 (0%)  
20240925-19:33:56.188309 [  5]  16.10-16.20  sec   103 KBytes  8.41 Mbits/sec  1.035 ms  0/72 (0%)  
20240925-19:33:56.288411 [  5]  16.20-16.30  sec   157 KBytes  12.8 Mbits/sec  0.663 ms  0/110 (0%)  
20240925-19:33:56.388195 [  5]  16.30-16.40  sec   108 KBytes  8.89 Mbits/sec  0.892 ms  0/76 (0%)  
20240925-19:33:56.488169 [  5]  16.40-16.50  sec   177 KBytes  14.5 Mbits/sec  0.901 ms  0/124 (0%)  
20240925-19:33:56.588337 [  5]  16.50-16.60  sec  94.1 KBytes  7.71 Mbits/sec  0.882 ms  0/66 (0%)  
20240925-19:33:56.688293 [  5]  16.60-16.70  sec   207 KBytes  16.9 Mbits/sec  0.926 ms  0/145 (0%)  
20240925-19:33:56.788201 [  5]  16.70-16.80  sec   108 KBytes  8.88 Mbits/sec  0.919 ms  0/76 (0%)  
20240925-19:33:56.888235 [  5]  16.80-16.90  sec   161 KBytes  13.2 Mbits/sec  0.992 ms  0/113 (0%)  
20240925-19:33:56.988156 [  5]  16.90-17.00  sec   111 KBytes  9.11 Mbits/sec  0.966 ms  0/78 (0%)  
20240925-19:33:57.088332 [  5]  17.00-17.10  sec   174 KBytes  14.2 Mbits/sec  0.963 ms  0/122 (0%)  
20240925-19:33:57.188416 [  5]  17.10-17.20  sec  51.3 KBytes  4.21 Mbits/sec  1.548 ms  0/36 (0%)  
20240925-19:33:57.288197 [  5]  17.20-17.30  sec   197 KBytes  16.1 Mbits/sec  1.177 ms  0/138 (0%)  
20240925-19:33:57.388232 [  5]  17.30-17.40  sec   197 KBytes  16.1 Mbits/sec  0.936 ms  0/138 (0%)  
20240925-19:33:57.488158 [  5]  17.40-17.50  sec   111 KBytes  9.11 Mbits/sec  0.989 ms  0/78 (0%)  
20240925-19:33:57.588354 [  5]  17.50-17.60  sec   157 KBytes  12.8 Mbits/sec  1.337 ms  0/110 (0%)  
20240925-19:33:57.688326 [  5]  17.60-17.70  sec  97.0 KBytes  7.95 Mbits/sec  0.852 ms  0/68 (0%)  
20240925-19:33:57.788298 [  5]  17.70-17.80  sec   207 KBytes  16.9 Mbits/sec  0.954 ms  0/145 (0%)  
20240925-19:33:57.888262 [  5]  17.80-17.90  sec  88.4 KBytes  7.24 Mbits/sec  1.176 ms  0/62 (0%)  
20240925-19:33:57.988182 [  5]  17.90-18.00  sec   197 KBytes  16.1 Mbits/sec  1.164 ms  0/138 (0%)  
20240925-19:33:58.088225 [  5]  18.00-18.10  sec   104 KBytes  8.53 Mbits/sec  1.105 ms  0/73 (0%)  
20240925-19:33:58.188514 [  5]  18.10-18.20  sec   163 KBytes  13.3 Mbits/sec  0.931 ms  0/114 (0%)  
20240925-19:33:58.288305 [  5]  18.20-18.30  sec  99.8 KBytes  8.19 Mbits/sec  1.282 ms  0/70 (0%)  
20240925-19:33:58.388289 [  5]  18.30-18.40  sec  55.6 KBytes  4.55 Mbits/sec  2.591 ms  0/39 (0%)  
20240925-19:33:58.488164 [  5]  18.40-18.50  sec   184 KBytes  15.1 Mbits/sec  0.962 ms  0/129 (0%)  
20240925-19:33:58.588162 [  5]  18.50-18.60  sec   185 KBytes  15.2 Mbits/sec  1.307 ms  0/130 (0%)  
20240925-19:33:58.688270 [  5]  18.60-18.70  sec   205 KBytes  16.8 Mbits/sec  1.148 ms  0/144 (0%)  
20240925-19:33:58.788226 [  5]  18.70-18.80  sec   110 KBytes  9.00 Mbits/sec  1.043 ms  0/77 (0%)  
20240925-19:33:58.888526 [  5]  18.80-18.90  sec   158 KBytes  12.9 Mbits/sec  1.024 ms  0/111 (0%)  
20240925-19:33:58.988147 [  5]  18.90-19.00  sec   104 KBytes  8.55 Mbits/sec  1.056 ms  0/73 (0%)  
20240925-19:33:59.088164 [  5]  19.00-19.10  sec   173 KBytes  14.1 Mbits/sec  1.376 ms  0/121 (0%)  
20240925-19:33:59.188221 [  5]  19.10-19.20  sec   106 KBytes  8.64 Mbits/sec  1.186 ms  0/74 (0%)  
20240925-19:33:59.288264 [  5]  19.20-19.30  sec   194 KBytes  15.9 Mbits/sec  1.084 ms  0/136 (0%)  
20240925-19:33:59.388220 [  5]  19.30-19.40  sec   135 KBytes  11.1 Mbits/sec  0.877 ms  0/95 (0%)  
20240925-19:33:59.488179 [  5]  19.40-19.50  sec   131 KBytes  10.7 Mbits/sec  0.976 ms  0/92 (0%)  
20240925-19:33:59.588165 [  5]  19.50-19.60  sec   155 KBytes  12.7 Mbits/sec  1.044 ms  0/109 (0%)  
20240925-19:33:59.688253 [  5]  19.60-19.70  sec  98.4 KBytes  8.06 Mbits/sec  1.072 ms  0/69 (0%)  
20240925-19:33:59.788303 [  5]  19.70-19.80  sec   201 KBytes  16.5 Mbits/sec  1.285 ms  0/141 (0%)  
20240925-19:33:59.888421 [  5]  19.80-19.90  sec   108 KBytes  8.87 Mbits/sec  1.158 ms  0/76 (0%)  
20240925-19:33:59.988214 [  5]  19.90-20.00  sec   113 KBytes  9.23 Mbits/sec  1.320 ms  0/79 (0%)  
20240925-19:34:00.088186 [  5]  20.00-20.10  sec   195 KBytes  16.0 Mbits/sec  1.168 ms  0/137 (0%)  
